Time,Current,Voltage,Wattage,Power
0:00:00,0.029272727,220,0,6.44
1:00:00,0.029090909,220,0,6.4
2:00:00,0.029090909,220,0,6.4
3:00:00,0.029090909,220,0,6.4
4:00:00,0.029090909,220,0,6.4
5:00:00,0.029090909,220,0,6.4
6:00:00,0.029090909,220,0,6.4
7:00:00,0.029090909,220,0,6.4
8:00:00,0.029454545,220,0,6.48
9:00:00,0.029636364,220,0,6.52
10:00:00,0.032363636,220,0,7.12
11:00:00,0.041454545,220,0,9.12
12:00:00,0.03,220,0,6.6
13:00:00,0.03,220,0,6.6
14:00:00,0.098,220,0,21.56
15:00:00,0.162181818,220,0,35.68
16:00:00,0.113818182,220,0,25.04
17:00:00,0.040363636,220,0,8.88
18:00:00,0.089090909,220,0,19.6
19:00:00,0.029818182,220,0,6.56
20:00:00,0.056,220,0,12.32
21:00:00,0.056727273,220,0,12.48
22:00:00,0.032363636,220,0,7.12
23:00:00,0.029272727,220,0,6.44
0:00:00,0.029272727,220,0,6.44
1:00:00,0.029272727,220,0,6.44
2:00:00,0.029272727,220,0,6.44
3:00:00,0.029272727,220,0,6.44
4:00:00,0.037272727,220,0,8.2
5:00:00,0.042,220,0,9.24
6:00:00,0.042,220,0,9.24
7:00:00,0.042181818,220,0,9.28
8:00:00,0.042181818,220,0,9.28
9:00:00,0.042181818,220,0,9.28
10:00:00,0.033636364,220,0,7.4
11:00:00,0.030363636,220,0,6.68
12:00:00,0.035454545,220,0,7.8
13:00:00,0.045636364,220,0,10.04
14:00:00,0.045272727,220,0,9.96
15:00:00,0.037454545,220,0,8.24
16:00:00,0.030181818,220,0,6.64
17:00:00,0.029818182,220,0,6.56
18:00:00,0.029818182,220,0,6.56
19:00:00,0.029818182,220,0,6.56
20:00:00,0.029636364,220,0,6.52
21:00:00,0.029272727,220,0,6.44
22:00:00,0.029272727,220,0,6.44
23:00:00,0.029272727,220,0,6.44
0:00:00,0.029272727,220,0,6.44
1:00:00,0.029272727,220,0,6.44
2:00:00,0.029272727,220,0,6.44
3:00:00,0.029090909,220,0,6.4
4:00:00,0.029272727,220,0,6.44
5:00:00,0.029272727,220,0,6.44
6:00:00,0.029272727,220,0,6.44
7:00:00,0.029272727,220,0,6.44
8:00:00,0.029272727,220,0,6.44
9:00:00,0.029272727,220,0,6.44
10:00:00,0.029454545,220,0,6.48
11:00:00,0.029454545,220,0,6.48
12:00:00,0.029636364,220,0,6.52
13:00:00,0.029636364,220,0,6.52
14:00:00,0.092181818,220,0,20.28
15:00:00,0.029818182,220,0,6.56
16:00:00,0.029636364,220,0,6.52
