Time,Current,Voltage,Wattage,Power,
0:00:00,0,220,0,0,0
1:00:00,0,220,0,0,0
2:00:00,0,220,0,0,0
3:00:00,0,220,0,0,0
4:00:00,0.003636364,220,0,0.8,0.0008
5:00:00,0.017636364,220,0,3.88,0.00388
6:00:00,0.039272727,220,0,8.64,0.00864
7:00:00,0.036909091,220,0,8.12,0.00812
8:00:00,0.023818182,220,0,5.24,0.00524
9:00:00,0.016,220,0,3.52,0.00352
10:00:00,0.015818182,220,0,3.48,0.00348
11:00:00,0.014545455,220,0,3.2,0.0032
12:00:00,0.018545455,220,0,4.08,0.00408
13:00:00,0.014909091,220,0,3.28,0.00328
14:00:00,0.016,220,0,3.52,0.00352
15:00:00,0.014363636,220,0,3.16,0.00316
16:00:00,0.014181818,220,0,3.12,0.00312
17:00:00,0.017454545,220,0,3.84,0.00384
18:00:00,0.020363636,220,0,4.48,0.00448
19:00:00,0.027454545,220,0,6.04,0.00604
20:00:00,0.010727273,220,0,2.36,0.00236
21:00:00,0.007636364,220,0,1.68,0.00168
22:00:00,0.000545455,220,0,0.12,0.00012
23:00:00,0,220,0,0,0
0:00:00,0,220,0,0,0
1:00:00,0,220,0,0,0
2:00:00,0,220,0,0,0
3:00:00,0.001272727,220,0,0.28,0.00028
4:00:00,0.033636364,220,0,7.4,0.0074
5:00:00,0.055090909,220,0,12.12,0.01212
6:00:00,0.044545455,220,0,9.8,0.0098
7:00:00,0.037090909,220,0,8.16,0.00816
8:00:00,0.028909091,220,0,6.36,0.00636
9:00:00,0.019272727,220,0,4.24,0.00424
10:00:00,0.014727273,220,0,3.24,0.00324
11:00:00,0.008909091,220,0,1.96,0.00196
12:00:00,0.014545455,220,0,3.2,0.0032
13:00:00,0.029454545,220,0,6.48,0.00648
14:00:00,0.019818182,220,0,4.36,0.00436
15:00:00,0.014909091,220,0,3.28,0.00328
16:00:00,0.015818182,220,0,3.48,0.00348
17:00:00,0.018909091,220,0,4.16,0.00416
18:00:00,0.028545455,220,0,6.28,0.00628
19:00:00,0.015454545,220,0,3.4,0.0034
20:00:00,0.015090909,220,0,3.32,0.00332
21:00:00,0,220,0,0,0
22:00:00,0,220,0,0,0
23:00:00,0,220,0,0,0
0:00:00,0,220,0,0,0
1:00:00,0,220,0,0,0
2:00:00,0,220,0,0,0
3:00:00,0,220,0,0,0
4:00:00,0.000727273,220,0,0.16,0.00016
5:00:00,0.007090909,220,0,1.56,0.00156
6:00:00,0.023818182,220,0,5.24,0.00524
7:00:00,0.027636364,220,0,6.08,0.00608
8:00:00,0.014909091,220,0,3.28,0.00328
9:00:00,0.014545455,220,0,3.2,0.0032
10:00:00,0.014181818,220,0,3.12,0.00312
11:00:00,0.015454545,220,0,3.4,0.0034
12:00:00,0.014545455,220,0,3.2,0.0032
13:00:00,0.003454545,220,0,0.76,0.00076
14:00:00,0.001454545,220,0,0.32,0.00032
15:00:00,0.007636364,220,0,1.68,0.00168
16:00:00,0.014363636,220,0,3.16,0.00316
17:00:00,0.027818182,220,0,6.12,0.00612
18:00:00,0.020909091,220,0,4.6,0.0046
19:00:00,0.013636364,220,0,3,0.003
20:00:00,0.013636364,220,0,3,0.003
21:00:00,0.003090909,220,0,0.68,0.00068
22:00:00,0.003818182,220,0,0.84,0.00084
23:00:00,0,220,0,0,0
0:00:00,0,220,0,0,0
1:00:00,0,220,0,0,0
2:00:00,0.000545455,220,0,0.12,0.00012
3:00:00,0.000363636,220,0,0.08,0.00008
4:00:00,0,220,0,0,0
5:00:00,0.013636364,220,0,3,0.003
6:00:00,0.021454545,220,0,4.72,0.00472
7:00:00,0.015272727,220,0,3.36,0.00336
8:00:00,0.014,220,0,3.08,0.00308
9:00:00,0.015090909,220,0,3.32,0.00332
10:00:00,0.015272727,220,0,3.36,0.00336
11:00:00,0.017454545,220,0,3.84,0.00384
12:00:00,0.018,220,0,3.96,0.00396
13:00:00,0.014545455,220,0,3.2,0.0032
14:00:00,0.022545455,220,0,4.96,0.00496
15:00:00,0.025818182,220,0,5.68,0.00568
16:00:00,0.026909091,220,0,5.92,0.00592
17:00:00,0.026,220,0,5.72,0.00572
18:00:00,0.026909091,220,0,5.92,0.00592
19:00:00,0.023454545,220,0,5.16,0.00516
20:00:00,0.024363636,220,0,5.36,0.00536
21:00:00,0.003636364,220,0,0.8,0.0008
22:00:00,0,220,0,0,0
23:00:00,0,220,0,0,0
0:00:00,0,220,0,0,0
1:00:00,0.000545455,220,0,0.12,0.00012
2:00:00,0,220,0,0,0
3:00:00,0.000363636,220,0,0.08,0.00008
4:00:00,0.035636364,220,0,7.84,0.00784
5:00:00,0.042181818,220,0,9.28,0.00928
6:00:00,0.025636364,220,0,5.64,0.00564
7:00:00,0.014363636,220,0,3.16,0.00316
8:00:00,0.014363636,220,0,3.16,0.00316
9:00:00,0.014727273,220,0,3.24,0.00324
10:00:00,0.015272727,220,0,3.36,0.00336
11:00:00,0.013272727,220,0,2.92,0.00292
12:00:00,0.015272727,220,0,3.36,0.00336
13:00:00,0.017090909,220,0,3.76,0.00376
14:00:00,0.020363636,220,0,4.48,0.00448
15:00:00,0.028363636,220,0,6.24,0.00624
16:00:00,0.024545455,220,0,5.4,0.0054
17:00:00,0.028909091,220,0,6.36,0.00636
18:00:00,0.028,220,0,6.16,0.00616
19:00:00,0.028181818,220,0,6.2,0.0062
20:00:00,0.032,220,0,7.04,0.00704
21:00:00,0.009818182,220,0,2.16,0.00216
22:00:00,0,220,0,0,0
23:00:00,0,220,0,0,0
0:00:00,0,220,0,0,0
1:00:00,0.000181818,220,0,0.04,0.00004
2:00:00,0,220,0,0,0
3:00:00,0.000909091,220,0,0.2,0.0002
4:00:00,0.029454545,220,0,6.48,0.00648
5:00:00,0.039090909,220,0,8.6,0.0086
6:00:00,0.028727273,220,0,6.32,0.00632
7:00:00,0.020363636,220,0,4.48,0.00448
8:00:00,0.006545455,220,0,1.44,0.00144
9:00:00,0.013818182,220,0,3.04,0.00304
10:00:00,0.014181818,220,0,3.12,0.00312
11:00:00,0.024,220,0,5.28,0.00528
12:00:00,0.026181818,220,0,5.76,0.00576
13:00:00,0.020545455,220,0,4.52,0.00452
14:00:00,0.015090909,220,0,3.32,0.00332
15:00:00,0.015454545,220,0,3.4,0.0034
16:00:00,0.022909091,220,0,5.04,0.00504
17:00:00,0.029272727,220,0,6.44,0.00644
18:00:00,0.027272727,220,0,6,0.006
19:00:00,0.025454545,220,0,5.6,0.0056
20:00:00,0.017090909,220,0,3.76,0.00376
21:00:00,0.000909091,220,0,0.2,0.0002
22:00:00,0,220,0,0,0
23:00:00,0,220,0,0,0
0:00:00,0,220,0,0,0
1:00:00,0,220,0,0,0
2:00:00,0.000727273,220,0,0.16,0.00016
3:00:00,0.003636364,220,0,0.8,0.0008
4:00:00,0.033454545,220,0,7.36,0.00736
5:00:00,0.038,220,0,8.36,0.00836
6:00:00,0.031272727,220,0,6.88,0.00688
7:00:00,0.022181818,220,0,4.88,0.00488
8:00:00,0.015090909,220,0,3.32,0.00332
9:00:00,0.023454545,220,0,5.16,0.00516
10:00:00,0.026363636,220,0,5.8,0.0058
11:00:00,0.018181818,220,0,4,0.004
12:00:00,0.014727273,220,0,3.24,0.00324
13:00:00,0.015272727,220,0,3.36,0.00336
14:00:00,0.014727273,220,0,3.24,0.00324
15:00:00,0.020909091,220,0,4.6,0.0046
16:00:00,0.018,220,0,3.96,0.00396
17:00:00,0.027818182,220,0,6.12,0.00612
18:00:00,0.018363636,220,0,4.04,0.00404
19:00:00,0.018545455,220,0,4.08,0.00408
20:00:00,0.024181818,220,0,5.32,0.00532
21:00:00,0,220,0,0,0
22:00:00,0,220,0,0,0
23:00:00,0,220,0,0,0
0:00:00,0,220,,0,0
1:00:00,0.000181818,220,,0.04,0.00004
2:00:00,0,220,,0,0
3:00:00,0.002,220,,0.44,0.00044
4:00:00,0.037272727,220,,8.2,0.0082
5:00:00,0.040363636,220,,8.88,0.00888
6:00:00,0.026363636,220,,5.8,0.0058
7:00:00,0.015454545,220,,3.4,0.0034
8:00:00,0.002545455,220,,0.56,0.00056
9:00:00,0.013818182,220,,3.04,0.00304
10:00:00,0.013272727,220,,2.92,0.00292
11:00:00,0.011090909,220,,2.44,0.00244
12:00:00,0.014181818,220,,3.12,0.00312
13:00:00,0.017636364,220,,3.88,0.00388
14:00:00,0.016363636,220,,3.6,0.0036
15:00:00,0.015090909,220,,3.32,0.00332
16:00:00,0.021454545,220,,4.72,0.00472
17:00:00,0.028727273,220,,6.32,0.00632
18:00:00,0.024181818,220,,5.32,0.00532
19:00:00,0.018909091,220,,4.16,0.00416
20:00:00,0.008,220,,1.76,0.00176
21:00:00,0,220,,0,0
22:00:00,0,220,,0,0
23:00:00,0,220,,0,0
0:00:00,0,220,,0,0
1:00:00,0,220,,0,0
2:00:00,0,220,,0,0
3:00:00,0.001090909,220,,0.24,0.00024
4:00:00,0.032,220,,7.04,0.00704
5:00:00,0.053272727,220,,11.72,0.01172
6:00:00,0.041454545,220,,9.12,0.00912
7:00:00,0.021818182,220,,4.8,0.0048
8:00:00,0.014727273,220,,3.24,0.00324
9:00:00,0.015454545,220,,3.4,0.0034
10:00:00,0.023818182,220,,5.24,0.00524
11:00:00,0.014909091,220,,3.28,0.00328
12:00:00,0.016909091,220,,3.72,0.00372
13:00:00,0.014909091,220,,3.28,0.00328
14:00:00,0.014727273,220,,3.24,0.00324
15:00:00,0.018,220,,3.96,0.00396
16:00:00,0.014909091,220,,3.28,0.00328
17:00:00,0.018727273,220,,4.12,0.00412
18:00:00,0.020909091,220,,4.6,0.0046
19:00:00,0.026545455,220,,5.84,0.00584
20:00:00,0.026181818,220,,5.76,0.00576
21:00:00,0.018,220,,3.96,0.00396
22:00:00,0.001272727,220,,0.28,0.00028
23:00:00,0,220,,0,0
0:00:00,0,220,,0,0
1:00:00,0,220,,0,0
2:00:00,0,220,,0,0
3:00:00,0.012545455,220,,2.76,0.00276
4:00:00,0.012,220,,2.64,0.00264
5:00:00,0.014,220,,3.08,0.00308
6:00:00,0.015090909,220,,3.32,0.00332
7:00:00,0.026545455,220,,5.84,0.00584
8:00:00,0.016,220,,3.52,0.00352
9:00:00,0.010181818,220,,2.24,0.00224
10:00:00,0.005454545,220,,1.2,0.0012
11:00:00,0.015272727,220,,3.36,0.00336
12:00:00,0.015636364,220,,3.44,0.00344
13:00:00,0.016181818,220,,3.56,0.00356
14:00:00,0.014909091,220,,3.28,0.00328
15:00:00,0.013272727,220,,2.92,0.00292
16:00:00,0.009818182,220,,2.16,0.00216
17:00:00,0.032909091,220,,7.24,0.00724
18:00:00,0.033272727,220,,7.32,0.00732
19:00:00,0.032181818,220,,7.08,0.00708
20:00:00,0.036727273,220,,8.08,0.00808
21:00:00,0.015272727,220,,3.36,0.00336
22:00:00,0,220,,0,0
23:00:00,0,220,,0,0
0:00:00,0.000181818,220,,0.04,0.00004
1:00:00,0,220,,0,0
2:00:00,0,220,,0,0
3:00:00,0,220,,0,0
4:00:00,0.023272727,220,,5.12,0.00512
5:00:00,0.042,220,,9.24,0.00924
6:00:00,0.013636364,220,,3,0.003
7:00:00,0,220,,0,0
8:00:00,0,220,,0,0
9:00:00,0.003272727,220,,0.72,0.00072
10:00:00,0.021272727,220,,4.68,0.00468
11:00:00,0.015818182,220,,3.48,0.00348
12:00:00,0.024,220,,5.28,0.00528
13:00:00,0.014,220,,3.08,0.00308
14:00:00,0.015636364,220,,3.44,0.00344
15:00:00,0.015272727,220,,3.36,0.00336
16:00:00,0.014,220,,3.08,0.00308
17:00:00,0.028181818,220,,6.2,0.0062
18:00:00,0.017818182,220,,3.92,0.00392
19:00:00,0.015818182,220,,3.48,0.00348
20:00:00,0.022181818,220,,4.88,0.00488
21:00:00,0.008545455,220,,1.88,0.00188
22:00:00,0.000363636,220,,0.08,0.00008
23:00:00,0,220,,0,0
0:00:00,0,220,,0,0
1:00:00,0,220,,0,0
2:00:00,0,220,,0,0
3:00:00,0.007454545,220,,1.64,0.00164
4:00:00,0.050909091,220,,11.2,0.0112
5:00:00,0.048363636,220,,10.64,0.01064
6:00:00,0.023636364,220,,5.2,0.0052
7:00:00,0,220,,0,0
8:00:00,0,220,,0,0
9:00:00,0.013818182,220,,3.04,0.00304
10:00:00,0.020363636,220,,4.48,0.00448
11:00:00,0.026545455,220,,5.84,0.00584
12:00:00,0.026,220,,5.72,0.00572
13:00:00,0.027454545,220,,6.04,0.00604
14:00:00,0.026545455,220,,5.84,0.00584
15:00:00,0.026909091,220,,5.92,0.00592
16:00:00,0.025090909,220,,5.52,0.00552
17:00:00,0.025090909,220,,5.52,0.00552
18:00:00,0.026,220,,5.72,0.00572
19:00:00,0.029636364,220,,6.52,0.00652
20:00:00,0.009454545,220,,2.08,0.00208
21:00:00,0,220,,0,0
22:00:00,0,220,,0,0
23:00:00,0,220,,0,0
0:00:00,0,220,,0,0
1:00:00,0.000545455,220,,0.12,0.00012
2:00:00,0,220,,0,0
3:00:00,0.003636364,220,,0.8,0.0008
4:00:00,0.038,220,,8.36,0.00836
5:00:00,0.026,220,,5.72,0.00572
6:00:00,0.014727273,220,,3.24,0.00324
7:00:00,0,220,,0,0
8:00:00,0.010545455,220,,2.32,0.00232
9:00:00,0.013636364,220,,3,0.003
10:00:00,0.013818182,220,,3.04,0.00304
11:00:00,0.010727273,220,,2.36,0.00236
12:00:00,0.000181818,220,,0.04,0.00004
13:00:00,0.003818182,220,,0.84,0.00084
14:00:00,0.010909091,220,,2.4,0.0024
15:00:00,0.015454545,220,,3.4,0.0034
16:00:00,0.015090909,220,,3.32,0.00332
17:00:00,0.013454545,220,,2.96,0.00296
18:00:00,0.015090909,220,,3.32,0.00332
19:00:00,0.022909091,220,,5.04,0.00504
20:00:00,0.027454545,220,,6.04,0.00604
21:00:00,0,220,,0,0
22:00:00,0,220,,0,0
23:00:00,0,220,,0,0
0:00:00,0,220,,0,0
1:00:00,0,220,,0,0
2:00:00,0,220,,0,0
3:00:00,0.004363636,220,,0.96,0.00096
4:00:00,0.028363636,220,,6.24,0.00624
5:00:00,0.02,220,,4.4,0.0044
6:00:00,0.004909091,220,,1.08,0.00108
7:00:00,0.002363636,220,,0.52,0.00052
8:00:00,0.013454545,220,,2.96,0.00296
9:00:00,0.014727273,220,,3.24,0.00324
10:00:00,0.012727273,220,,2.8,0.0028
11:00:00,0.002181818,220,,0.48,0.00048
12:00:00,0.013272727,220,,2.92,0.00292
13:00:00,0.015454545,220,,3.4,0.0034
14:00:00,0.014,220,,3.08,0.00308
15:00:00,0.014363636,220,,3.16,0.00316
16:00:00,0.015818182,220,,3.48,0.00348
17:00:00,0.028545455,220,,6.28,0.00628
18:00:00,0.015272727,220,,3.36,0.00336
19:00:00,0.024363636,220,,5.36,0.00536
20:00:00,0.010727273,220,,2.36,0.00236
21:00:00,0,220,,0,0
22:00:00,0,220,,0,0
23:00:00,0,220,,0,0
0:00:00,0,220,,0,0
1:00:00,0,220,,0,0
2:00:00,0,220,,0,0
3:00:00,0.003818182,220,,0.84,0.00084
4:00:00,0.030545455,220,,6.72,0.00672
5:00:00,0.018727273,220,,4.12,0.00412
6:00:00,0.009454545,220,,2.08,0.00208
7:00:00,0.007272727,220,,1.6,0.0016
8:00:00,0.002,220,,0.44,0.00044
9:00:00,0.006727273,220,,1.48,0.00148
10:00:00,0.011454545,220,,2.52,0.00252
11:00:00,0.001454545,220,,0.32,0.00032
12:00:00,0,220,,0,0
13:00:00,0.002545455,220,,0.56,0.00056
14:00:00,0.000727273,220,,0.16,0.00016
15:00:00,0.000363636,220,,0.08,0.00008
16:00:00,0.007636364,220,,1.68,0.00168
17:00:00,0.018909091,220,,4.16,0.00416
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
