Time,Current,Voltage,Wattage,Power
0:00:00,0,220,0,0
1:00:00,0,220,0,0
2:00:00,0,220,0,0
3:00:00,0,220,0,0
4:00:00,0,220,0,0
5:00:00,9.545454545,220,0,210
6:00:00,11.81818182,220,0,260
7:00:00,3.636363636,220,0,80
8:00:00,4.090909091,220,0,90
9:00:00,0,220,0,0
10:00:00,0,220,0,0
11:00:00,0,220,0,0
12:00:00,0,220,0,0
13:00:00,0,220,0,0
14:00:00,0,220,0,0
15:00:00,8.636363636,220,0,190
16:00:00,13.18181818,220,0,290
17:00:00,9.545454545,220,0,210
18:00:00,8.181818182,220,0,180
19:00:00,2.727272727,220,0,60
20:00:00,0,220,0,0
21:00:00,0,220,0,0
22:00:00,0,220,0,0
23:00:00,0,220,0,0
0:00:00,0,220,0,0
1:00:00,0,220,0,0
2:00:00,0,220,0,0
3:00:00,0,220,0,0
4:00:00,145.4545455,220,0,320
5:00:00,154.5454545,220,0,340
6:00:00,90.90909091,220,0,200
7:00:00,27.27272727,220,0,60
8:00:00,22.72727273,220,0,50
9:00:00,0,220,0,0
10:00:00,0,220,0,0
11:00:00,0,220,0,0
12:00:00,0,220,0,0
13:00:00,0,220,0,0
14:00:00,68.18181818,220,0,150
15:00:00,127.2727273,220,0,280
16:00:00,168.1818182,220,0,370
17:00:00,113.6363636,220,0,250
18:00:00,0,220,0,0
19:00:00,0,220,0,0
20:00:00,0,220,0,0
21:00:00,22.72727273,220,0,50
22:00:00,18.18181818,220,0,40
23:00:00,31.81818182,220,0,70
0:00:00,40.90909091,220,0,90
1:00:00,0,220,0,0
2:00:00,36.36363636,220,0,80
3:00:00,50,220,0,110
4:00:00,0,220,0,0
5:00:00,27.27272727,220,0,60
6:00:00,22.72727273,220,0,50
7:00:00,0,220,0,0
8:00:00,22.72727273,220,0,50
9:00:00,13.63636364,220,0,30
10:00:00,22.72727273,220,0,50
11:00:00,0,220,0,0
12:00:00,0,220,0,0
13:00:00,0,220,0,0
14:00:00,13.63636364,220,0,30
15:00:00,18.18181818,220,0,40
16:00:00,36.36363636,220,0,80
17:00:00,0,220,0,0
18:00:00,0,220,0,0
19:00:00,13.63636364,220,0,30
20:00:00,22.72727273,220,0,50
21:00:00,13.63636364,220,0,30
22:00:00,31.81818182,220,0,70
23:00:00,0,220,0,0
0:00:00,36.36363636,220,0,80
1:00:00,9.090909091,220,0,20
2:00:00,0,220,0,0
3:00:00,27.27272727,220,0,60
4:00:00,22.72727273,220,0,50
5:00:00,0,220,0,0
6:00:00,27.27272727,220,0,60
7:00:00,31.81818182,220,0,70
8:00:00,22.72727273,220,0,50
9:00:00,0,220,0,0
10:00:00,18.18181818,220,0,40
11:00:00,4.545454545,220,0,10
12:00:00,13.63636364,220,0,30
13:00:00,9.090909091,220,0,20
14:00:00,13.63636364,220,0,30
15:00:00,9.090909091,220,0,20
16:00:00,13.63636364,220,0,30
17:00:00,27.27272727,220,0,60
18:00:00,18.18181818,220,0,40
19:00:00,13.63636364,220,0,30
20:00:00,40.90909091,220,0,90
21:00:00,18.18181818,220,0,40
22:00:00,36.36363636,220,0,80
23:00:00,40.90909091,220,0,90
0:00:00,13.63636364,220,0,30
1:00:00,27.27272727,220,0,60
2:00:00,22.72727273,220,0,50
3:00:00,18.18181818,220,0,40
4:00:00,31.81818182,220,0,70
